# max-cut SDP  problem=data/G55mc.sdp n=5000 m=5000 F0_nnz=17467  mode=baseline16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=2.094541e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
  2100  1.6202e-03  2.6042e-03  1.5282e-03  2.6042e-03  -2.20091788e+04  -2.19420119e+04     17.79     38.239  0  0.000e+00  0.000e+00
  2125  1.6459e-03  2.5986e-03  1.5520e-03  2.5986e-03  -2.20127294e+04  -2.19445068e+04     17.18     38.679  0  0.000e+00  0.000e+00
  2150  1.6227e-03  2.5926e-03  1.3295e-03  2.5926e-03  -2.20103828e+04  -2.19519332e+04     17.29     39.114  0  0.000e+00  0.000e+00
  2175  1.6317e-03  2.6045e-03  1.4969e-03  2.6045e-03  -2.20143651e+04  -2.19485554e+04     18.07     39.549  0  0.000e+00  0.000e+00
  2200  1.6384e-03  2.5842e-03  1.2752e-03  2.5842e-03  -2.20121992e+04  -2.19561296e+04     17.24     39.987  0  0.000e+00  0.000e+00
  2225  1.6440e-03  2.6174e-03  1.4713e-03  2.6174e-03  -2.20142861e+04  -2.19496018e+04     18.16     40.428  0  0.000e+00  0.000e+00
  2250  1.6408e-03  2.6086e-03  1.2835e-03  2.6086e-03  -2.20164069e+04  -2.19599610e+04     18.43     40.869  0  0.000e+00  0.000e+00
  2275  1.6610e-03  2.6252e-03  1.3573e-03  2.6252e-03  -2.20131628e+04  -2.19534836e+04     17.45     41.310  0  0.000e+00  0.000e+00
  2300  1.6912e-03  2.6347e-03  1.3271e-03  2.6347e-03  -2.20191132e+04  -2.19607465e+04     17.53     41.744  0  0.000e+00  0.000e+00
  2325  1.6466e-03  2.6794e-03  1.2437e-03  2.6794e-03  -2.20157227e+04  -2.19610284e+04     17.84     42.182  0  0.000e+00  0.000e+00
  2350  1.6594e-03  2.6474e-03  1.3009e-03  2.6474e-03  -2.20192811e+04  -2.19620641e+04     18.09     42.624  0  0.000e+00  0.000e+00
  2375  1.6261e-03  2.6816e-03  1.2312e-03  2.6816e-03  -2.20179885e+04  -2.19638377e+04     17.18     43.067  0  0.000e+00  0.000e+00
  2400  1.6629e-03  2.6583e-03  1.3148e-03  2.6583e-03  -2.20199405e+04  -2.19621098e+04     17.07     43.510  0  0.000e+00  0.000e+00
